time,open,high,low,close
1698240600,34.63,34.645,34.59,34.645
1698240605,34.65,34.68,34.64,34.65
1698240610,34.65,34.65,34.57,34.6
1698240615,34.6,34.62,34.58,34.6
1698240620,34.61,34.61,34.57,34.61
1698240625,34.61,34.635,34.605,34.63
1698240630,34.62,34.625,34.6,34.62
1698240635,34.61,34.61,34.58,34.6
1698240640,34.595,34.615,34.58,34.6
1698240645,34.6,34.6,34.58,34.59
1698240650,34.59,34.605,34.58,34.58
1698240655,34.575,34.575,34.525,34.53
1698240660,34.53,34.535,34.49,34.515
1698240665,34.515,34.52,34.47,34.47
1698240670,34.465,34.465,34.435,34.46
1698240675,34.465,34.475,34.43,34.435
1698240680,34.43,34.47,34.425,34.455
1698240685,34.45,34.46,34.42,34.43
1698240690,34.425,34.425,34.38,34.38
1698240695,34.38,34.41,34.37,34.41
1698240700,34.4,34.405,34.39,34.4
1698240705,34.4,34.42,34.38,34.38
1698240710,34.38,34.39,34.36,34.37
1698240715,34.37,34.37,34.335,34.35
1698240720,34.355,34.355,34.315,34.32
1698240725,34.31,34.32,34.25,34.27
1698240730,34.26,34.285,34.24,34.27
1698240735,34.25,34.26,34.24,34.25
1698240740,34.25,34.26,34.24,34.25
1698240745,34.26,34.28,34.25,34.28
1698240750,34.28,34.29,34.25,34.25
1698240755,34.25,34.255,34.235,34.255
1698240760,34.25,34.25,34.23,34.245
1698240765,34.245,34.26,34.245,34.25
1698240770,34.25,34.27,34.25,34.27
1698240775,34.27,34.285,34.26,34.26
1698240780,34.26,34.27,34.25,34.26
1698240785,34.26,34.265,34.25,34.25
1698240790,34.25,34.255,34.23,34.23
1698240795,34.23,34.265,34.225,34.25
1698240800,34.25,34.285,34.24,34.27
1698240805,34.28,34.3,34.25,34.25
1698240810,34.25,34.27,34.25,34.26
1698240815,34.25,34.26,34.22,34.225
1698240820,34.22,34.23,34.2,34.225
1698240825,34.22,34.25,34.215,34.25
1698240830,34.25,34.27,34.24,34.24
1698240835,34.24,34.24,34.215,34.23
1698240840,34.23,34.23,34.21,34.225
1698240845,34.23,34.23,34.215,34.215
1698240850,34.22,34.23,34.215,34.225
1698240855,34.215,34.22,34.18,34.19
1698240860,34.185,34.2,34.18,34.2
1698240865,34.2,34.2,34.18,34.19
1698240870,34.19,34.2,34.18,34.19
1698240875,34.2,34.2,34.19,34.19
1698240880,34.195,34.195,34.17,34.17
1698240885,34.17,34.175,34.145,34.15
1698240890,34.15,34.155,34.13,34.14
1698240895,34.13,34.15,34.12,34.14
1698240900,34.14,34.14,34.09,34.1
1698240905,34.09,34.11,34.08,34.109
1698240910,34.095,34.1,34.075,34.075
1698240915,34.08,34.085,34.05,34.05
1698240920,34.05,34.05,34.01,34.01
1698240925,34.02,34.025,34.01,34.015
1698240930,34.029,34.05,34.029,34.035
1698240935,34.03,34.035,34,34.005
1698240940,34.01,34.02,34,34.01
1698240945,34.015,34.03,33.99,34
1698240950,33.995,34.02,33.995,34.01
1698240955,34,34.01,33.99,34.005
1698240960,34.01,34.015,34,34.01
1698240965,34.02,34.055,34.015,34.03
1698240970,34.02,34.02,34,34.01
1698240975,34.005,34.01,34,34
1698240980,34,34.01,33.97,33.97
1698240985,33.97,33.97,33.935,33.969
1698240990,33.965,34.01,33.965,34.01
1698240995,34.02,34.03,34.019,34.02
1698241000,34.02,34.045,34.015,34.045
1698241005,34.05,34.05,33.999,34
1698241010,34,34.01,33.99,34.01
1698241015,34.01,34.02,34.009,34.015
1698241020,34.02,34.045,34.009,34.045
1698241025,34.04,34.1,34.04,34.08
1698241030,34.08,34.09,34.059,34.06
1698241035,34.06,34.08,34.05,34.05
1698241040,34.045,34.05,34.03,34.03
1698241045,34.04,34.059,34.04,34.04
1698241050,34.03,34.03,34.01,34.03
1698241055,34.025,34.05,34.01,34.05
1698241060,34.05,34.05,34.03,34.04
1698241065,34.04,34.04,34.03,34.04
1698241070,34.04,34.09,34.035,34.08
1698241075,34.07,34.08,34.04,34.04
1698241080,34.03,34.07,34.02,34.04
1698241085,34.04,34.04,34,34
1698241090,33.99,34.03,33.97,34.03
1698241095,34.01,34.01,33.98,33.99
1698241100,33.99,33.995,33.98,33.98
1698241105,33.98,33.99,33.955,33.955
1698241110,33.95,34,33.93,33.99
1698241115,33.99,33.99,33.96,33.96
1698241120,33.965,33.985,33.96,33.97
1698241125,33.975,33.995,33.97,33.99
1698241130,33.985,34.005,33.98,34.005
1698241135,34.01,34.02,33.99,34.02
1698241140,34.02,34.065,34.02,34.05
1698241145,34.05,34.06,34.025,34.04
1698241150,34.045,34.055,34.035,34.04
1698241155,34.04,34.04,34.02,34.03
1698241160,34.025,34.05,34.025,34.03
1698241165,34.045,34.05,34.02,34.04
1698241170,34.03,34.03,34.01,34.01
1698241175,34.02,34.03,33.98,34
1698241180,33.99,34.03,33.99,34.03
1698241185,34.03,34.035,34,34
1698241190,34,34.04,34,34.03
1698241195,34.03,34.05,34.025,34.05
1698241200,34.05,34.06,34.03,34.05
1698241205,34.05,34.11,34.05,34.07
1698241210,34.08,34.08,34.045,34.049
1698241215,34.04,34.05,34.02,34.03
1698241220,34.035,34.035,33.995,34
1698241225,34,34.01,33.989,33.99
1698241230,33.99,34,33.97,33.995
1698241235,33.99,34.01,33.985,34
1698241240,34.005,34.03,33.999,34
1698241245,33.99,34.015,33.99,34.01
1698241250,34.02,34.02,33.98,33.98
1698241255,33.98,34,33.975,33.99
1698241260,33.995,33.995,33.975,33.975
1698241265,33.97,34.01,33.97,34
1698241270,33.99,34,33.98,33.98
1698241275,33.99,33.995,33.98,33.99
1698241280,33.99,33.99,33.965,33.98
1698241285,33.98,33.99,33.965,33.97
1698241290,33.97,33.99,33.965,33.98
1698241295,33.98,33.99,33.98,33.98
1698241300,33.975,33.995,33.96,33.96
1698241305,33.965,33.965,33.935,33.94
1698241310,33.94,33.94,33.91,33.91
1698241315,33.91,33.93,33.905,33.93
1698241320,33.93,33.93,33.875,33.875
1698241325,33.87,33.88,33.825,33.83
1698241330,33.83,33.845,33.82,33.84
1698241335,33.85,33.86,33.83,33.85
1698241340,33.85,33.875,33.845,33.859
1698241345,33.86,33.9,33.84,33.89
1698241350,33.895,33.95,33.89,33.93
1698241355,33.925,33.955,33.925,33.955
1698241360,33.955,33.97,33.945,33.97
1698241365,33.975,33.975,33.95,33.965
1698241370,33.96,33.97,33.95,33.965
1698241375,33.965,33.97,33.955,33.96
1698241380,33.96,33.965,33.925,33.93
1698241385,33.94,33.96,33.92,33.96
1698241390,33.959,33.959,33.92,33.925
1698241395,33.93,33.93,33.919,33.93
1698241400,33.925,33.925,33.9,33.9
1698241405,33.895,33.905,33.885,33.905
1698241410,33.9,33.9,33.88,33.885
1698241415,33.89,33.9,33.885,33.895
1698241420,33.89,33.9,33.885,33.889
1698241425,33.885,33.885,33.85,33.865
1698241430,33.87,33.87,33.861,33.87
1698241435,33.88,33.885,33.86,33.88
1698241440,33.88,33.89,33.865,33.88
1698241445,33.879,33.879,33.865,33.87
1698241450,33.865,33.875,33.86,33.875
1698241455,33.88,33.89,33.875,33.89
1698241460,33.89,33.89,33.88,33.89
1698241465,33.89,33.905,33.885,33.9
1698241470,33.905,33.915,33.9,33.91
1698241475,33.92,33.92,33.875,33.905
1698241480,33.9,33.9,33.88,33.88
1698241485,33.875,33.885,33.87,33.87
1698241490,33.88,33.88,33.87,33.87
1698241495,33.87,33.87,33.849,33.849
1698241500,33.84,33.85,33.769,33.78
1698241505,33.775,33.825,33.77,33.815
1698241510,33.815,33.815,33.805,33.805
1698241515,33.8,33.805,33.79,33.8
1698241520,33.81,33.835,33.81,33.82
1698241525,33.82,33.82,33.78,33.8
1698241530,33.8,33.805,33.78,33.795
1698241535,33.8,33.81,33.78,33.78
1698241540,33.78,33.78,33.769,33.769
1698241545,33.77,33.78,33.77,33.77
1698241550,33.77,33.78,33.75,33.76
1698241555,33.76,33.76,33.74,33.74
1698241560,33.75,33.775,33.75,33.77
